U Face Stickers									Buffer: A (UFR)																																																	[z: [R U2 R', D2]]
DC	[Lw': [R' D2 R, U]]		BC	[R' D'U': [R' D R, U']]		CM	[F: [U2, R' D' R]]																																																			
DB	[Lw D: [R' D' R, U]]		BO	[U' R: [R D R', U2]]		CN	[R' D R, U2]																																																			
DO	[R: [U, R D R']]		BN	[R' D R, U']		CP	[U': [R D' R', U2]]																																																			
DM	[R': [R' D' R, U']]		BP	[U': [R D' R', U']]		CK	[Lw': [U2, R' D2 R]]																																																			
DN	[R' D R, U]		BJ	[D': [R' D R, U']]		CJ	[DU': [R D R', U2]]																																																			
DP	[U', R D' R']		BL	[D: [R' D' R, U']]		CL	[U'D': [R D' R', U2]]																																																			
DK	[R: [U2, R D R']]		BW	[U' R': [U2, R' D' R]]		CW	[R D R': [R' D2 R, U2]]																																																			
DJ	[D': [R' D R, U]]		BX	[U': [R D R', U']]		CX	[U': [R D R', U2]]																																																			
DL	[D: [R' D' R, U]]		BZ	[R' D' R, U']		CZ	[R' D' R, U2]																																																			
DX	[U', R D R']		BS	[U' R: [R D R', U]]		CS	[R' D': [U2, R' D R]]																																																			
DZ	[R' D' R, U]		BQ	[U' R': [U', R' D' R]]		CR	[R' D2 R, U2]																																																			
DQ	[R': [R' D' R, U2]]		BR	[R' D2 R, U']		CT	[U' D: [R D' R', U2]]																																																			
DR	[R' D2 R, U]		BT	[D': [R' D' R, U']]		CF	[R F' R' U': [R D R', U2]]																																																			
DT	[D: [U', R D' R']]		BF	[U' x': [R U R', D2]]		CE	[D R D' R': [R' D R, U2]]																																																			
DF	[x': [D2, R U R']]		BE	[D R D' R': [R' D R, U']]		CH	[R D' R': [R' D R, U2]]																																																			
DE	[U' R' D R: [R D' R', U]]		BH	[R D' R': [R' D R, U']]		CG	[D' R D' R': [R' D R, U2]]																																																			
DH	[U R D' R': [U', R' D R]]		BG	[R' D' R : [R U' R', D]]																																																						
DG	[x: [R' U' R, D2]]																																																									
L Face Stickers																																																										
OM	[L, U' R' U]		MN	[R' U' : [D, R U R']]		NP	[z': [R U' R', D']]		PK	[Lw': [U2, R' D R]]																																																
ON	[U R' U': [R' D R, U]]		MP	[z: [R' D' R, U2]]		NK	[D R': [F2, R D' R' D]]		PJ	[U R U': [R D' R', U']]																																																
OP	[R D': [R D R', U]]		MJ	[R, U L U']		NJ	[U: [D, R U' R']]		PL	[D2: [R U R', D']]																																																
OK	[Lw' U: [R D' R', U2]]		ML	[D R' U': [D', R U R']]		NW	[U R U: [R' D R, U2]]		PW	[U R: [R D' R', U2]]																																																
OJ	[R U R' : [R' D' R, U']]		MW	[F' U: [R' D R, U2]]		NX	[DU: [R U' R', D2]]		PX	[R D': [R' U' R, D2]]																																																
OL	[R U: [R' D R, U]]		MX	[R' U': [R' D' R, U2]]		NZ	[U R' D: [R U' R', D2]]		PZ	[D2, R U R']																																																
OW	[R: [R2' D R2 D' R2', U]]		MZ	[R' U': [D', R U R']]		NS	[R' U: [R U' R', D]]		PS	[U' L U, R]																																																
OX	[R D: [R D R', U]]		MS	[R', U L U']		NQ	[Lw U2: [R D' R', U]]		PQ	[U2 R: [R D' R', U]]																																																
OZ	[D' R U : [R' D R, U]]		MQ	[x': [R U' R', D]]		NR	[UD: [R U' R', D]]		PT	[D': [D', R U R']]																																																
OS	[U R': [U', R' D' R]]		MR	[x': [R U2 R', D]]		NT	[R' U' R: [U2, R' D R]]		PF	[R D R' D: [R U R', D2]]																																																
OR	[U R': [U', R' D2 R]]		MT	[F: [D', R U R']]		NE	[UD R D' : [U', R' D R]]		PE	[D2 R: [R D' R', U']]																																																
OT	[R U: [R' D' R, U]]		MF	[U' R' U: [R U' R', D]]		NH	[U R : [D, R U' R']]		PH	[R D' R': [R' D R, U]]																																																
OF	[R: [R D2 R', U]]		ME	[R U' R': [R' D' R, U2]]		NG	[F': [R U' R', D2]]																																																			
OE	[D2 R: [R D' R', U]]		MH	[z: [D2, R U R']]																																																						
OH	[D R: [R D' R', U]]		MG	[R2 D2: [R U' R', D]]																																																						
OG	[R: [R D' R', U]]																																																									
F Face Stickers																																																										
KJ	[R': [R D' R' D, F2]]		JL	[U L' U', R]		LW	[F' U: [R' D' R, U2]]																																																			
KL	[R U: [R' D R, U2]]		JW	[U' R' U: [R D R', U2]]		LX	[R D: [D, R' U' R]]																																																			
