Buffer UF	UB	UR	UL	LU	LF	LD	LB	FR	FD	FL	RU	RB	RD	RF	BU	BL	BD	BR	DF	DR	DB	DL
UB		[R2 U': [S', U2]]	[U' M2 U': [M, U2]]	[U' M U: [M', U2]]	[U: [R' E R, U2]]	[U': [L' E' L, U2]]	[U: [R E' R', U2]]	[R' U: [S, R2]]	[R' F': [E, R U R']]	[L U': [S', L2]]	[U M U': [M', U2]]	[U': [L' E L, U2]]	[U: [R E R', U2]]	[U': [L E' L', U2]]		[L' U': [S', L2]]	[U M' U': [M', U2]]	[R U: [S, R2]]	[M', U2]	[U: [S, R2]]	[U2, M]	[U': [S', L2]]
UR	[R2 U': [S, R2]]		[M2 U': [M, U2]]	[L F' L', S']	[R' E R, U']	[U2: [L' E' L, U']]	[R E' R', U']	[E': [R' E R, U']]	[R U' R' U, M']	[R E2 R', U']		[U2: [L' E L, U']]	[R' E' R, U']	[U2: [L E' L', U']]	[R' U' R U, M]	[R' E2 R, U']	(M U' M' U')2	[E: [R E' R', U']]	[U, M U2 M]	[R U R': [S, R2]]	[R U' R' U, M2]	L U L' U' L' U' L' U L U
UL	[U' M2 U: [M, U2]]	[M2 U: [M, U2]]			[U2: [R' E R, U]]	[L' E' L, U]	[U2: [R E' R', U]]	[L' E2 L, U]	[L' U L U', M']	[E: [L E' L', U]]	[R' F R, S]	[L' E L, U]	[U2: [R E R', U]]	[L E' L', U]	[L U L' U', M]	[E': [L' E L, U]]	(M U M' U)2	[L E2 L', U]	[U', M U2 M]	R' U' R U R U R U' R' U'	[L' U L U', M2]	[L U' L': [S', L2]]
LU	[U' M U': [M', U2]]	[S', L F' L']			[S: [R' E R, U']]	[F L: [E', L2]]	[S: [R E' R', U']]	[S' U L: [E', L2]]	[Lw': [U' L U, M']]	[Rw' F': [Rw S Rw', F']]	[M U': [M', U2]]	[Rw' U': [M', U2]]	[R' F R': [S, R2]]	[R M U': [M', U2]]	[Lw': [U' L U, M]]	[U' Lw U': [M', U2]]	M' (M' U' M U')2 M	[S' U L': [E, L2]]	[D': [S, L F' L']]	[Rw: [L E' L', U']]	[D: [S, L F' L']]	[S, L F' L']
LF	[U': [R' E R, U2]]	[U', R' E R]	[U': [R' E R, U']]	[S: [U', R' E R]]		[U S' U', L]	[Rw U L': [S', L2]]	[R U' R', E]	[M': [U' L' U, M']]		[M L' U': [M', U2]]	[Rw U R: [E, R2]]	[M' U R: [E, R2]]	[U E R: [S, R2]]	[M', U' L' U]	[L U L', E']	[U' Rw': [E, R U R']]	[R': [U', R' E R]]	[L2 F': [E', L2]]	[U' E' R': [E', R2]]	[M': [U' L' U, M2]]	[U E L': [E', L2]]
LD	[U: [L' E' L, U2]]	[U: [L' E' L, U]]	[U, L' E' L]	[F L': [E', L2]]	[L, U S' U']		[L', U S' U']	[L' E': [E', L U L']]	[U: [R' D' R, S']]	[S' U' R': [E, R2]]	[L F' L': [S', L2]]	[L F': [L2, E]]	[R' F R: [S', R2]]	[M' U' L: [E', L2]]	[U' D: [R' F' R, S]]	[S' U' R: [E', R2]]	[U: [R' D R, S']]	[R S: [S, R' U R]]	[L F': [E', L2]]	[S, L' F' L]	[U: [L B' L', S']]	
LB	[U': [R E' R', U2]]	[U', R E' R']	[U': [R E' R', U']]	[S: [U', R E' R']]	[Rw U L: [S', L2]]	[U S' U', L']		[R: [U', R E' R']]	[M': [U' L U, M']]	[L' U L, E]	[Lw U': [M', U2]]	[Uw R': [S, R2]]	[R' F: [E', R2]]	[Lw' U' L: [E', L2]]	[M', U' L U]		[U' M: [R E' R', U]]	[R' U' R, E']	[F': [E', L2]]	[Uw' R: [E, R2]]	[M': [U' L U, M2]]	[Uw L: [E, L2]]
FR	[R' U': [S, R2]]	[E': [U', R' E R]]	[U, L' E2 L]	[S' U L': [E', L2]]	[E, R U' R']	[L' E': [L U L', E']]	[R2: [E', R' U' R]]		[U' R U, M']	[R' U' R': [E, R2]]	[R U2: [R' S' R, U']]	[E', R U' R']	[R' Fw R: [S', R2]]		[U' R U, M]	[R' U' R: [E', R2]]	[U': [R, U' M U]]	[U R: [S, R2]]	[U R U': [M', U2]]	[U D2 L': [E', L2]]	[U' R U, M2]	[U L': [E', L2]]
FD	[R' F': [R U R', E]]	[Rw: [U' R' U, M]]	[Lw': [U L U', M]]	[Lw': [M', U' L U]]	[M': [M', U' L' U]]	[U: [S', R D' R']]	[M': [M', U' L U]]	[M', U' R U]		[M', U L' U']	[Rw: [M', U R' U']]	[M': [M', U R' U']]	[U': [R' F' R, S']]	[M': [M', U R U']]	[U': [R' F' R, S]]	[M', U L U']	U' M U' M' U2 M' U M U'	[M', U' R' U]		[U R' F' R: [S, R2]]	[D: [S', R F R']]	[U' L F L': [S', L2]]
FL	[L U: [S', L2]]	[U', R E2 R']	[E: [U, L E' L']]	[Rw' F2: [Rw S Rw', F]]		[S' U' R: [E, R2]]	[E, L' U L]	[R' U' R: [E, R2]]	[U L' U', M']		[S U' R: [E, R2]]	[L2: [E, L U L']]	[R E: [R' U' R, E]]	[E', L' U L]	[U L' U', M]	[U' L': [S', L2]]	[U: [L', U M U']]	[R U' R: [E, R2]]	[U' L' U: [M', U2]]	[U' R: [E, R2]]	[U L' U', M2]	[U' D2 R: [E, R2]]
