Case,alg,viz,inv,scramble
CLL H-1,R2 U2 R U2 R2,R2 U2 R U2 R2,R2 U2 R' U2 R2,L2 U2 L' U2 L2
EG1 H-1,R' F (R2 U' R2' U') F U R,R' F R2 U' R2 U' F U R,R' U' F' U R2 U R2 F' R,F' L2 F' U F L' F L'
EG2 H-1,R2 F U2 F2 R2 F' R2,R2 F U2 F2 R2 F' R2,R2 F R2 F2 U2 F' R2,L2 F U2 B2 R2 F' L2
CLL H-2,RU'R'FR'F'R2U'R'FR'F'R,R U' R' F R' F' R2 U' R' F R' F' R,R' F R F' R U R2 F R F' R U R',L2 F L2 F2 U2 F L2
EG1 H-2,F' U (R U' R2' F2) R U' F,F' U R U' R2 F2 R U' F,F' U R' F2 R2 U R' U' F,F U' L F2 L2 U' L U F'
EG2 H-2,R2U2RU2B2R2,R2 U2 R U2 B2 R2,R2 B2 U2 R' U2 R2,L2 U2 L U2 F2 L2
CLL H-3,RUR'URUR'FR'F'R,R U R' U R U R' F R' F' R,R' F R F' R U' R' U' R U' R',L' U L' U2 L2 F U' F' U' L2
EG1 H-3,R'U'R'F2UF'RF',R' U' R' F2 U F' R F',F R' F U' F2 R U R,F L' U F' L2 U F L
EG2 H-3,R'U'RU2R2F'RU'FR,R' U' R U2 R2 F' R U' F R,R' F' U R' F R2 U2 R' U R,L' F L2 U R2 D F' D2 F'
CLL H-4,FR2U'R2U'R2UR2F',F R2 U' R2 U' R2 U R2 F',F R2 U' R2 U R2 U R2 F',F L2 U' F2 U F2 U L2 F'
EG1 H-4,RUR'F'RUR'U'RUR',R U R' F' R U R' U' R U R',R U' R' U R U' R' F R U' R',U' L' U' L2 U2 L' U2 F L' F'
EG2 H-4,RU2B2R'URU'BR',R U2 B2 R' U R U' B R',R B' U R' U' R B2 U2 R',L U' F L' U' L U2 F2 L'
CLL Pi-1,RU'R2UR2UR2U'R,R U' R2 U R2 U R2 U' R,R' U R2 U' R2 U' R2 U R',L F' L2 F U2 F U2 F' L
EG1 Pi-1,R2B2R'UR'U'RU2RU'R2,R2 B2 R' U R' U' R U2 R U' R2,R2 U R' U2 R' U R U' R B2 R2,L' F' U' F' D F' R U' F
EG2 Pi-1,FU'RU2RU'R'UR'F',F U' R U2 R U' R' U R' F',F R U' R U R' U2 R' U F',F D' B L2 B U' L' F L' F'
CLL Pi-2,R'U'R'FRF'RU'R'U2R,R' U' R' F R F' R U' R' U2 R,R' U2 R U R' F R' F' R U R,F L F L' U F' U' F U' F'
EG1 Pi-2,R'FR2U'R2FR,R' F R2 U' R2 F R,R' F' R2 U R2 F' R,L F L2 U' L2 F L'
EG2 Pi-2,R'U2R2U'R'F2R2F',R' U2 R2 U' R' F2 R2 F',F R2 F2 R U R2 U2 R,B D2 F2 U F' L2 F2 L'
CLL Pi-3,R'FRF'RU'R'U'RU'R',R' F R F' R U' R' U' R U' R',R U R' U R U R' F R' F' R,L2 U' F' L' F L2 U2 L' U L'
EG1 Pi-3,FR'FU'F2RUR,F R' F U' F2 R U R,R' U' R' F2 U F' R F',L' F' U' L2 F U' L F'
EG2 Pi-3,R'F'UR'FR2U2R'UR,R' F' U R' F R2 U2 R' U R,R' U' R U2 R2 F' R U' F R,F U2 F L' U2 R' U2 B' L
CLL Pi-4,RU'RU'R'UR'FR2F',R U' R U' R' U R' F R2 F',F R2 F' R U' R U R' U R',F L F2 L U2 L' U2 L2 F'
EG1 Pi-4,RU'R'URU'R'FRU'R',R U' R' U R U' R' F R U' R',R U R' F' R U R' U' R U R',L2 F' L U2 L U' F' L2 F' L'
EG2 Pi-4,R'FU'RUR'F2U2R,R' F U' R U R' F2 U2 R,R' U2 F2 R U' R' U F' R,L F2 U2 L' D F R' D R'
CLL Pi-5,RU2R'U'RUR'U2R'FRF',R U2 R' U' R U R' U2 R' F R F',F R' F' R U2 R U' R' U R U2 R',F2 U F U L' F2 L' U2 F2 L'
EG1 Pi-5,RUR'URU'R2F'RFR'F'R,R U R' U R U' R2 F' R F R' F' R,R' F R F' R' F R2 U R' U' R U' R',F U' L F' U2 F' U' F' L2 F'
EG2 Pi-5,LU2L'UL2F2L'F'L',L U2 L' U L2 F2 L' F' L',L F L F2 L2 U' L U2 L',L F L F2 L2 U' L U2 L'
CLL Pi-6,L'U2LUL'U'LU2RU'R'F,L' U2 L U L' U' L U2 R U' R' F,F' R U R' U2 L' U L U' L' U2 L,F L2 F' U L2 F' L U F L'
EG1 Pi-6,R'FRF'R'FR2UR'U'RU'R',R' F R F' R' F R2 U R' U' R U' R',R U R' U R U' R2 F' R F R' F' R,U' F U' F' L F' U2 F2 L F'
